id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
386,SOUTH DAKOTA,SOUTH DAKOTA,0,27721,43.99,465,0.74,2782,4.41,13,0.02,53,0.08,31,0.05,368,0.58,281,0.45,2342,3.72,115,0.18,44,0.07,2902,4.60,109,0.17,840,1.33,48,0.08,61,0.10,604,0.96,129,0.20,10,0.02,77,0.12,2395,3.80,0,0.00,342,0.54,6190,9.82,5745,9.12,53,0.08,1746,2.77,133,0.21,2270,3.60,0,0.00,167,0.27,653,1.04,0,630213,2008
387,TENNESSEE,TENNESSEE,1,35507,7.18,1663,0.34,7057,1.43,18,0.00,60,0.01,535,0.11,1050,0.21,1404,0.28,5141,1.04,434,0.09,78,0.02,5648,1.14,93,0.02,229,0.05,48,0.01,59,0.01,1424,0.29,604,0.12,26,0.01,151,0.03,3004,0.61,52,0.01,50,0.01,204,0.04,1270,0.26,409,0.08,3650,0.74,0,0.00,5773,1.17,0,0.00,1927,0.39,2166,0.44,383,4948055,2008
388,TENNESSEE,TENNESSEE,0,309981,62.65,13626,2.75,39706,8.02,304,0.06,344,0.07,2934,0.59,10044,2.03,6221,1.26,30894,6.24,2324,0.47,267,0.05,31413,6.35,3104,0.63,9361,1.89,1147,0.23,880,0.18,4295,0.87,3238,0.65,2111,0.43,731,0.15,34686,7.01,360,0.07,1771,0.36,26322,5.32,8071,1.63,20522,4.15,10759,2.17,80,0.02,93705,18.94,0,0.00,1927,0.39,2166,0.44,0,4948055,2008
389,TEXAS,TEXAS,1,171536,7.34,4900,0.21,32028,1.37,73,0.00,294,0.01,1729,0.07,2804,0.12,5599,0.24,25055,1.07,1113,0.05,261,0.01,22524,0.96,160,0.01,425,0.02,59,0.00,145,0.01,5638,0.24,1641,0.07,139,0.01,676,0.03,15326,0.66,52,0.00,44,0.00,1082,0.05,5601,0.24,3141,0.13,20305,0.87,1901,0.08,29338,1.26,0,0.00,13164,0.56,13247,0.57,964,23376796,2008
390,TEXAS,TEXAS,0,1141646,48.84,34235,1.46,130782,5.59,863,0.04,2034,0.09,8199,0.35,23139,0.99,19693,0.84,104395,4.47,5962,0.26,732,0.03,109003,4.66,7323,0.31,13473,0.58,573,0.02,745,0.03,13855,0.59,11667,0.50,8784,0.38,4059,0.17,136897,5.86,500,0.02,4939,0.21,90066,3.85,29859,1.28,140094,5.99,40371,1.73,3224,0.14,334786,14.32,0,0.00,13164,0.56,13247,0.57,0,23376796,2008
391,UTAH,UTAH,1,24576,10.34,359,0.15,6278,2.64,6,0.00,52,0.02,68,0.03,233,0.10,396,0.17,5666,2.38,153,0.06,63,0.03,2210,0.93,25,0.01,53,0.02,1,0.00,184,0.08,1799,0.76,355,0.15,23,0.01,314,0.13,1663,0.70,1,0.00,127,0.05,98,0.04,2146,0.90,197,0.08,1900,0.80,163,0.07,5040,2.12,0,0.00,1015,0.43,625,0.26,106,2376842,2008
392,UTAH,UTAH,0,114017,47.97,2044,0.86,18725,7.88,47,0.02,181,0.08,495,0.21,1321,0.56,1342,0.56,16821,7.08,460,0.19,102,0.04,10515,4.42,927,0.39,1031,0.43,22,0.01,787,0.33,3999,1.68,1200,0.50,463,0.19,811,0.34,9242,3.89,7,0.00,1667,0.70,6894,2.90,9577,4.03,4181,1.76,4563,1.92,189,0.08,35533,14.95,0,0.00,1015,0.43,625,0.26,0,2376842,2008
393,VERMONT,VERMONT,1,1403,2.75,47,0.09,293,0.57,1,0.00,9,0.02,1,0.00,36,0.07,60,0.12,202,0.40,23,0.05,8,0.02,205,0.40,4,0.01,7,0.01,1,0.00,20,0.04,116,0.23,15,0.03,0,0.00,2,0.00,141,0.28,0,0.00,10,0.02,24,0.05,156,0.31,4,0.01,123,0.24,0,0.00,233,0.46,0,0.00,0,0.00,2,0.00,73,509775,2008
394,VERMONT,VERMONT,0,13533,26.55,456,0.89,1714,3.36,8,0.02,71,0.14,21,0.04,356,0.70,300,0.59,1308,2.57,87,0.17,19,0.04,1454,2.85,88,0.17,346,0.68,42,0.08,133,0.26,402,0.79,18,0.04,6,0.01,23,0.05,1137,2.23,0,0.00,313,0.61,2647,5.19,662,1.30,9,0.02,854,1.68,1,0.00,3226,6.33,0,0.00,0,0.00,2,0.00,0,509775,2008
395,VIRGINIA,VIRGINIA,1,40940,5.43,1105,0.15,6743,0.89,20,0.00,52,0.01,506,0.07,527,0.07,1154,0.15,5198,0.69,221,0.03,170,0.02,4946,0.66,54,0.01,136,0.02,99,0.01,190,0.03,1523,0.20,558,0.07,4,0.00,209,0.03,2736,0.36,4,0.00,22,0.00,183,0.02,2284,0.30,208,0.03,1515,0.20,0,0.00,9848,1.31,0,0.00,2854,0.38,5719,0.76,375,7543553,2008
