id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
1,ALABAMA,ALABAMA4,1,156,NULL,0,NULL,95,NULL,0,NULL,0,NULL,0,NULL,0,NULL,5,NULL,90,NULL,0,NULL,0,NULL,20,NULL,0,NULL,0,NULL,0,NULL,2,NULL,0,NULL,1,NULL,0,NULL,0,NULL,27,NULL,0,NULL,0,NULL,1,NULL,1,NULL,1,NULL,2,NULL,0,NULL,6,NULL,0,NULL,0,NULL,NULL,NULL,1,82012,2011
2,ALABAMA,ALABAMA4,0,2101,25.62,15,0.18,531,6.47,0,0.00,0,0.00,11,0.13,4,0.05,17,0.21,509,6.21,5,0.06,0,0.00,234,2.85,4,0.05,9,0.11,16,0.20,20,0.24,10,0.12,20,0.24,0,0.00,0,0.00,300,3.66,0,0.00,1,0.01,287,3.50,6,0.07,193,2.35,30,0.37,0,0.00,425,5.18,0,0.00,0,0.00,NULL,0.00,0,82012,2011
3,ALASKA,ALASKA,1,3453,NULL,194,NULL,1028,NULL,1,NULL,14,NULL,43,NULL,136,NULL,109,NULL,834,NULL,62,NULL,23,NULL,365,NULL,1,NULL,19,NULL,7,NULL,1,NULL,153,NULL,29,NULL,0,NULL,41,NULL,352,NULL,0,NULL,2,NULL,57,NULL,603,NULL,11,NULL,53,NULL,5,NULL,500,NULL,0,NULL,32,NULL,NULL,NULL,32,714559,2011
4,ALASKA,ALASKA,0,39607,55.43,2006,2.81,3824,5.35,32,0.04,81,0.11,225,0.31,1668,2.33,417,0.58,3097,4.33,266,0.37,44,0.06,5309,7.43,64,0.09,245,0.34,102,0.14,28,0.04,887,1.24,401,0.56,69,0.10,356,0.50,2341,3.28,1,0.00,329,0.46,4420,6.19,2603,3.64,102,0.14,1115,1.56,7,0.01,15362,21.50,4,0.01,32,0.04,NULL,0.00,0,714559,2011
5,ARIZONA,ARIZONA,1,37596,NULL,1059,NULL,8886,NULL,17,NULL,13,NULL,262,NULL,767,NULL,1285,NULL,7194,NULL,298,NULL,109,NULL,4093,NULL,18,NULL,87,NULL,5,NULL,124,NULL,2653,NULL,265,NULL,6,NULL,294,NULL,5008,NULL,3,NULL,157,NULL,395,NULL,4606,NULL,0,NULL,2714,NULL,60,NULL,4372,NULL,0,NULL,2791,NULL,NULL,NULL,85,6128057,2011
6,ARIZONA,ARIZONA,0,285528,46.59,8589,1.40,40144,6.55,244,0.04,196,0.03,1736,0.28,6413,1.05,4615,0.75,33888,5.53,1402,0.23,239,0.04,24442,3.99,1822,0.30,2101,0.34,200,0.03,1240,0.20,11164,1.82,2400,0.39,777,0.13,1702,0.28,30886,5.04,55,0.01,2536,0.41,35496,5.79,21739,3.55,0,0.00,17374,2.84,1181,0.19,78889,12.87,0,0.00,2791,0.46,NULL,0.00,0,6128057,2011
7,ARKANSAS,ARKANSAS,1,8320,NULL,318,NULL,2374,NULL,4,NULL,25,NULL,65,NULL,224,NULL,459,NULL,1853,NULL,54,NULL,8,NULL,1177,NULL,8,NULL,21,NULL,6,NULL,77,NULL,231,NULL,107,NULL,0,NULL,27,NULL,661,NULL,5,NULL,4,NULL,82,NULL,194,NULL,136,NULL,666,NULL,0,NULL,1909,NULL,0,NULL,317,NULL,NULL,NULL,189,2163737,2011
8,ARKANSAS,ARKANSAS,0,108281,50.04,3229,1.49,12948,5.98,59,0.03,139,0.06,435,0.20,2596,1.20,2391,1.11,10213,4.72,285,0.13,59,0.03,8698,4.02,557,0.26,1952,0.90,35,0.02,693,0.32,1125,0.52,943,0.44,166,0.08,133,0.06,8783,4.06,18,0.01,119,0.06,7758,3.59,1828,0.84,7316,3.38,2681,1.24,458,0.21,48524,22.43,0,0.00,317,0.15,NULL,0.00,0,2163737,2011
9,CALIFORNIA,CALIFORNIA,1,144768,NULL,10972,NULL,33873,NULL,135,NULL,173,NULL,4170,NULL,6494,NULL,11176,NULL,20374,NULL,1828,NULL,495,NULL,15506,NULL,109,NULL,334,NULL,13,NULL,2246,NULL,8717,NULL,5978,NULL,324,NULL,1648,NULL,12408,NULL,20,NULL,8,NULL,658,NULL,3707,NULL,2944,NULL,6950,NULL,270,NULL,29643,NULL,0,NULL,8440,NULL,NULL,NULL,619,37483185,2011
10,CALIFORNIA,CALIFORNIA,0,1183470,31.57,107165,2.86,147842,3.94,1512,0.04,1757,0.05,17431,0.47,86465,2.31,52355,1.40,84090,2.24,10350,0.28,1047,0.03,82460,2.20,6224,0.17,6998,0.19,1100,0.03,17147,0.46,21921,0.58,27690,0.74,10659,0.28,11143,0.30,188188,5.02,590,0.02,244,0.01,104345,2.78,15904,0.42,99017,2.64,11246,0.30,5122,0.14,310025,8.27,0,0.00,8440,0.23,NULL,0.00,0,37483185,2011
11,COLORADO,COLORADO,1,28675,NULL,571,NULL,6126,NULL,5,NULL,59,NULL,101,NULL,406,NULL,589,NULL,5137,NULL,261,NULL,139,NULL,1685,NULL,27,NULL,81,NULL,2,NULL,89,NULL,1223,NULL,406,NULL,11,NULL,199,NULL,3240,NULL,0,NULL,63,NULL,367,NULL,2734,NULL,14,NULL,2560,NULL,0,NULL,8067,NULL,1,NULL,1209,NULL,NULL,NULL,180,4644849,2011
12,COLORADO,COLORADO,0,208352,44.86,5701,1.23,23445,5.05,107,0.02,400,0.09,936,0.20,4258,0.92,2407,0.52,19719,4.25,1084,0.23,235,0.05,13764,2.96,707,0.15,1700,0.37,121,0.03,655,0.14,4971,1.07,1701,0.37,319,0.07,818,0.18,15109,3.25,2,0.00,3134,0.67,27314,5.88,11424,2.46,1734,0.37,9672,2.08,160,0.03,84671,18.23,21,0.00,1209,0.26,NULL,0.00,0,4644849,2011
13,CONNECTICUT,CONNECTICUT,1,12505,NULL,599,NULL,2684,NULL,4,NULL,39,NULL,276,NULL,280,NULL,404,NULL,2061,NULL,138,NULL,81,NULL,3409,NULL,17,NULL,39,NULL,0,NULL,46,NULL,537,NULL,180,NULL,2,NULL,95,NULL,1105,NULL,7,NULL,35,NULL,42,NULL,149,NULL,1,NULL,1945,NULL,0,NULL,1592,NULL,0,NULL,21,NULL,NULL,NULL,99,3509272,2011
14,CONNECTICUT,CONNECTICUT,0,119285,33.99,4817,1.37,17366,4.95,128,0.04,267,0.08,1397,0.40,3025,0.86,2771,0.79,13813,3.94,612,0.17,170,0.05,23258,6.63,899,0.26,1297,0.37,161,0.05,445,0.13,2310,0.66,1244,0.35,386,0.11,560,0.16,13667,3.89,61,0.02,1436,0.41,8487,2.42,919,0.26,4,0.00,12458,3.55,41,0.01,29448,8.39,0,0.00,21,0.01,NULL,0.00,0,3509272,2011
15,DELAWARE,DELAWARE,1,4785,NULL,360,NULL,1191,NULL,2,NULL,8,NULL,126,NULL,224,NULL,153,NULL,990,NULL,30,NULL,18,NULL,1203,NULL,10,NULL,61,NULL,3,NULL,69,NULL,177,NULL,89,NULL,0,NULL,47,NULL,491,NULL,1,NULL,2,NULL,0,NULL,239,NULL,11,NULL,311,NULL,0,NULL,414,NULL,0,NULL,106,NULL,NULL,NULL,55,907135,2011
16,DELAWARE,DELAWARE,0,37832,41.70,2328,2.57,7325,8.07,29,0.03,93,0.10,583,0.64,1623,1.79,981,1.08,6187,6.82,116,0.13,41,0.05,7362,8.12,559,0.62,1803,1.99,186,0.21,336,0.37,880,0.97,327,0.36,29,0.03,181,0.20,5110,5.63,6,0.01,169,0.19,242,0.27,1615,1.78,669,0.74,2141,2.36,1129,1.24,5329,5.87,0,0.00,106,0.12,NULL,0.00,0,907135,2011
17,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA5,1,645,NULL,88,NULL,81,NULL,0,NULL,0,NULL,77,NULL,11,NULL,0,NULL,74,NULL,7,NULL,0,NULL,53,NULL,0,NULL,0,NULL,0,NULL,4,NULL,13,NULL,18,NULL,0,NULL,0,NULL,22,NULL,0,NULL,0,NULL,0,NULL,8,NULL,1,NULL,38,NULL,0,NULL,319,NULL,0,NULL,0,NULL,NULL,NULL,1,617996,2011
18,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA5,0,8725,14.12,157,0.25,175,0.28,0,0.00,0,0.00,118,0.19,39,0.06,0,0.00,165,0.27,10,0.02,0,0.00,225,0.36,2,0.00,17,0.03,0,0.00,10,0.02,29,0.05,59,0.10,0,0.00,0,0.00,204,0.33,1,0.00,0,0.00,43,0.07,1455,2.35,70,0.11,159,0.26,103,0.17,6016,9.73,0,0.00,0,0.00,NULL,0.00,0,617996,2011
19,FLORIDA,FLORIDA4 6,1,87025,NULL,5729,NULL,25887,NULL,52,NULL,205,NULL,2071,NULL,3401,NULL,7631,NULL,16850,NULL,1293,NULL,113,NULL,12949,NULL,66,NULL,442,NULL,11,NULL,272,NULL,1744,NULL,1032,NULL,35,NULL,232,NULL,10055,NULL,31,NULL,0,NULL,221,NULL,1170,NULL,0,NULL,0,NULL,0,NULL,27149,NULL,0,NULL,0,NULL,NULL,NULL,678,19052717,2011
20,FLORIDA,FLORIDA4 6,0,952845,50.01,43364,2.28,128489,6.74,709,0.04,1527,0.08,9148,0.48,31980,1.68,28778,1.51,94047,4.94,5345,0.28,319,0.02,88685,4.65,2983,0.16,13992,0.73,939,0.05,3440,0.18,7364,0.39,5785,0.30,4484,0.24,2734,0.14,130296,6.84,315,0.02,0,0.00,43784,2.30,27256,1.43,0,0.00,0,0.00,0,0.00,448935,23.56,0,0.00,0,0.00,NULL,0.00,0,19052717,2011
21,GEORGIA,GEORGIA,1,38046,NULL,1805,NULL,10603,NULL,40,NULL,44,NULL,534,NULL,1187,NULL,2319,NULL,7713,NULL,483,NULL,88,NULL,5344,NULL,64,NULL,267,NULL,21,NULL,430,NULL,915,NULL,813,NULL,32,NULL,652,NULL,3106,NULL,9,NULL,246,NULL,219,NULL,1067,NULL,80,NULL,3550,NULL,96,NULL,7988,NULL,21,NULL,718,NULL,NULL,NULL,422,9214519,2011
22,GEORGIA,GEORGIA,0,349708,37.95,14419,1.56,53874,5.85,460,0.05,350,0.04,2787,0.30,10822,1.17,9596,1.04,41729,4.53,2148,0.23,401,0.04,33830,3.67,4461,0.48,6294,0.68,406,0.04,3679,0.40,4147,0.45,3971,0.43,1524,0.17,4032,0.44,42812,4.65,331,0.04,4354,0.47,31176,3.38,9783,1.06,3384,0.37,26769,2.91,1139,0.12,98506,10.69,99,0.01,718,0.08,NULL,0.00,0,9214519,2011
23,IDAHO,IDAHO,1,10370,NULL,142,NULL,2393,NULL,0,NULL,9,NULL,10,NULL,123,NULL,262,NULL,2023,NULL,73,NULL,35,NULL,1031,NULL,5,NULL,23,NULL,2,NULL,49,NULL,497,NULL,92,NULL,0,NULL,59,NULL,1001,NULL,0,NULL,9,NULL,110,NULL,1087,NULL,49,NULL,557,NULL,0,NULL,2864,NULL,0,NULL,400,NULL,NULL,NULL,102,1493662,2011
24,IDAHO,IDAHO,0,63005,42.18,1303,0.87,7037,4.71,17,0.01,68,0.05,82,0.05,1136,0.76,948,0.63,5859,3.92,183,0.12,47,0.03,5198,3.48,158,0.11,437,0.29,54,0.04,244,0.16,1162,0.78,427,0.29,18,0.01,275,0.18,6558,4.39,0,0.00,658,0.44,9161,6.13,4076,2.73,435,0.29,2220,1.49,15,0.01,23169,15.51,0,0.00,400,0.27,NULL,0.00,0,1493662,2011
25,ILLINOIS,ILLINOIS7,1,24136,NULL,2380,NULL,5030,NULL,38,NULL,68,NULL,1164,NULL,1110,NULL,893,NULL,3207,NULL,913,NULL,17,NULL,3716,NULL,4,NULL,20,NULL,0,NULL,15,NULL,1177,NULL,915,NULL,9,NULL,51,NULL,4595,NULL,440,NULL,14,NULL,18,NULL,152,NULL,0,NULL,2630,NULL,0,NULL,2746,NULL,0,NULL,224,NULL,NULL,NULL,2,2857044,2011
26,ILLINOIS,ILLINOIS7,0,132863,46.50,6939,2.43,18924,6.62,290,0.10,409,0.14,2524,0.88,3716,1.30,2570,0.90,13683,4.79,2610,0.91,61,0.02,19717,6.90,221,0.08,232,0.08,0,0.00,80,0.03,3904,1.37,3941,1.38,2432,0.85,609,0.21,38701,13.55,2429,0.85,353,0.12,3619,1.27,1060,0.37,0,0.00,11031,3.86,110,0.04,18337,6.42,0,0.00,224,0.08,NULL,0.00,0,2857044,2011
27,INDIANA,INDIANA,1,25633,NULL,1187,NULL,6828,NULL,34,NULL,15,NULL,318,NULL,820,NULL,891,NULL,5477,NULL,404,NULL,56,NULL,4522,NULL,35,NULL,44,NULL,0,NULL,212,NULL,789,NULL,323,NULL,10,NULL,214,NULL,2319,NULL,1,NULL,37,NULL,93,NULL,1956,NULL,269,NULL,2029,NULL,10,NULL,4092,NULL,43,NULL,620,NULL,NULL,NULL,169,4962299,2011
28,INDIANA,INDIANA,0,194774,39.25,8398,1.69,30383,6.12,243,0.05,187,0.04,1687,0.34,6281,1.27,4223,0.85,24499,4.94,1527,0.31,134,0.03,19091,3.85,1145,0.23,1699,0.34,21,0.00,1033,0.21,2011,0.41,1880,0.38,977,0.20,1277,0.26,23345,4.70,61,0.01,1473,0.30,20043,4.04,10395,2.09,16303,3.29,6873,1.39,83,0.02,47533,9.58,130,0.03,620,0.12,NULL,0.00,0,4962299,2011
29,IOWA,IOWA,1,15779,NULL,545,NULL,4381,NULL,1,NULL,22,NULL,46,NULL,476,NULL,658,NULL,3508,NULL,135,NULL,80,NULL,2075,NULL,27,NULL,45,NULL,8,NULL,37,NULL,989,NULL,122,NULL,1,NULL,68,NULL,1124,NULL,0,NULL,3,NULL,129,NULL,1329,NULL,329,NULL,1927,NULL,0,NULL,2115,NULL,0,NULL,525,NULL,NULL,NULL,185,2685953,2011
30,IOWA,IOWA,0,105015,39.10,3939,1.47,14424,5.37,33,0.01,110,0.04,202,0.08,3594,1.34,1924,0.72,11985,4.46,381,0.14,134,0.05,9459,3.52,515,0.19,784,0.29,68,0.03,185,0.07,2520,0.94,566,0.21,128,0.05,213,0.08,9139,3.40,6,0.00,1151,0.43,11889,4.43,7261,2.70,12158,4.53,6155,2.29,18,0.01,23912,8.90,0,0.00,525,0.20,NULL,0.00,0,2685953,2011
31,KANSAS,KANSAS,1,7729,NULL,254,NULL,2022,NULL,5,NULL,43,NULL,32,NULL,174,NULL,234,NULL,1687,NULL,75,NULL,26,NULL,1103,NULL,23,NULL,19,NULL,14,NULL,24,NULL,344,NULL,80,NULL,1,NULL,101,NULL,922,NULL,0,NULL,16,NULL,133,NULL,1125,NULL,2,NULL,435,NULL,0,NULL,1111,NULL,0,NULL,0,NULL,NULL,NULL,244,2017057,2011
32,KANSAS,KANSAS,0,78391,38.86,2236,1.11,7624,3.78,44,0.02,187,0.09,189,0.09,1816,0.90,982,0.49,6193,3.07,382,0.19,67,0.03,11429,5.67,401,0.20,931,0.46,163,0.08,283,0.14,1875,0.93,600,0.30,213,0.11,301,0.15,7364,3.65,1,0.00,239,0.12,11470,5.69,6204,3.08,347,0.17,2746,1.36,0,0.00,23964,11.88,0,0.00,0,0.00,NULL,0.00,0,2017057,2011
33,KENTUCKY,KENTUCKY,1,8042,NULL,399,NULL,2763,NULL,7,NULL,31,NULL,211,NULL,150,NULL,589,NULL,2029,NULL,97,NULL,48,NULL,1098,NULL,12,NULL,12,NULL,3,NULL,180,NULL,331,NULL,112,NULL,1,NULL,83,NULL,896,NULL,2,NULL,17,NULL,94,NULL,72,NULL,196,NULL,437,NULL,22,NULL,1244,NULL,0,NULL,68,NULL,NULL,NULL,359,4103435,2011
34,KENTUCKY,KENTUCKY,0,176087,42.91,3563,0.87,19953,4.86,114,0.03,244,0.06,1146,0.28,2059,0.50,3818,0.93,15397,3.75,596,0.15,142,0.03,10545,2.57,1218,0.30,1164,0.28,333,0.08,1812,0.44,1236,0.30,1082,0.26,196,0.05,394,0.10,21383,5.21,7,0.00,4834,1.18,22973,5.60,500,0.12,19360,4.72,4998,1.22,407,0.10,60061,14.64,0,0.00,68,0.02,NULL,0.00,0,4103435,2011
35,LOUISIANA,LOUISIANA,1,13711,NULL,1378,NULL,3492,NULL,17,NULL,36,NULL,253,NULL,1072,NULL,769,NULL,2562,NULL,119,NULL,42,NULL,2352,NULL,10,NULL,25,NULL,1,NULL,219,NULL,623,NULL,255,NULL,3,NULL,103,NULL,1179,NULL,5,NULL,34,NULL,34,NULL,196,NULL,43,NULL,1935,NULL,7,NULL,1647,NULL,9,NULL,161,NULL,NULL,NULL,110,2433299,2011
36,LOUISIANA,LOUISIANA,0,119085,48.94,8420,3.46,19892,8.17,158,0.06,208,0.09,959,0.39,7095,2.92,3774,1.55,15419,6.34,577,0.24,122,0.05,15227,6.26,362,0.15,1411,0.58,24,0.01,1370,0.56,2537,1.04,1515,0.62,351,0.14,613,0.25,14925,6.13,103,0.04,733,0.30,6032,2.48,6723,2.76,2794,1.15,9772,4.02,424,0.17,25439,10.45,257,0.11,161,0.07,NULL,0.00,0,2433299,2011
37,MAINE,MAINE,1,5342,NULL,73,NULL,1424,NULL,0,NULL,22,NULL,19,NULL,32,NULL,256,NULL,1055,NULL,81,NULL,32,NULL,831,NULL,2,NULL,15,NULL,4,NULL,27,NULL,400,NULL,39,NULL,0,NULL,43,NULL,512,NULL,0,NULL,1,NULL,46,NULL,894,NULL,5,NULL,148,NULL,0,NULL,845,NULL,0,NULL,33,NULL,NULL,NULL,163,1324187,2011
38,MAINE,MAINE,0,51592,38.96,751,0.57,8142,6.15,17,0.01,75,0.06,204,0.15,455,0.34,1396,1.05,6368,4.81,301,0.23,77,0.06,6562,4.96,368,0.28,755,0.57,56,0.04,198,0.15,1487,1.12,403,0.30,26,0.02,253,0.19,5627,4.25,3,0.00,129,0.10,5802,4.38,3937,2.97,24,0.02,1709,1.29,15,0.01,15312,11.56,0,0.00,33,0.02,NULL,0.00,0,1324187,2011
39,MARYLAND,MARYLAND,1,30018,NULL,2026,NULL,7696,NULL,9,NULL,37,NULL,910,NULL,1070,NULL,1379,NULL,5589,NULL,569,NULL,159,NULL,5776,NULL,38,NULL,62,NULL,10,NULL,20,NULL,1304,NULL,802,NULL,15,NULL,232,NULL,4330,NULL,20,NULL,13,NULL,108,NULL,572,NULL,0,NULL,1526,NULL,10,NULL,5229,NULL,18,NULL,211,NULL,NULL,NULL,134,4810360,2011
40,MARYLAND,MARYLAND,0,229010,47.61,9551,1.99,28345,5.89,202,0.04,305,0.06,2819,0.59,6225,1.29,5982,1.24,20403,4.24,1585,0.33,375,0.08,25424,5.29,814,0.17,1554,0.32,289,0.06,192,0.04,3267,0.68,3235,0.67,1121,0.23,1175,0.24,41022,8.53,225,0.05,2054,0.43,17402,3.62,6129,1.27,10,0.00,6306,1.31,136,0.03,80150,16.66,398,0.08,211,0.04,NULL,0.00,0,4810360,2011
41,MASSACHUSETTS,MASSACHUSETTS,1,12149,NULL,1340,NULL,2239,NULL,6,NULL,30,NULL,319,NULL,985,NULL,512,NULL,1596,NULL,98,NULL,33,NULL,2253,NULL,12,NULL,27,NULL,4,NULL,188,NULL,598,NULL,198,NULL,3,NULL,55,NULL,504,NULL,2,NULL,151,NULL,66,NULL,748,NULL,175,NULL,956,NULL,0,NULL,2620,NULL,2,NULL,8,NULL,NULL,NULL,313,5972351,2011
42,MASSACHUSETTS,MASSACHUSETTS,0,137379,23.00,11512,1.93,18428,3.09,90,0.02,288,0.05,1808,0.30,9326,1.56,3693,0.62,13955,2.34,697,0.12,83,0.01,21483,3.60,578,0.10,1181,0.20,90,0.02,1283,0.21,3138,0.53,1479,0.25,860,0.14,566,0.09,10849,1.82,15,0.00,1962,0.33,9887,1.66,4311,0.72,7249,1.21,7384,1.24,9,0.00,35084,5.87,23,0.00,8,0.00,NULL,0.00,0,5972351,2011
43,MICHIGAN,MICHIGAN,1,26155,NULL,1530,NULL,7721,NULL,10,NULL,86,NULL,501,NULL,933,NULL,1371,NULL,5809,NULL,459,NULL,82,NULL,3393,NULL,24,NULL,259,NULL,11,NULL,255,NULL,771,NULL,537,NULL,7,NULL,201,NULL,2837,NULL,10,NULL,8,NULL,360,NULL,2443,NULL,11,NULL,1043,NULL,0,NULL,4033,NULL,0,NULL,701,NULL,NULL,NULL,504,8768968,2011
44,MICHIGAN,MICHIGAN,0,251200,28.65,11856,1.35,34176,3.90,158,0.02,589,0.07,2141,0.24,8968,1.02,6045,0.69,25970,2.96,1895,0.22,266,0.03,27645,3.15,678,0.08,4648,0.53,917,0.10,1588,0.18,3125,0.36,3926,0.45,320,0.04,862,0.10,31486,3.59,93,0.01,3858,0.44,29443,3.36,14923,1.70,391,0.04,8563,0.98,261,0.03,71740,8.18,0,0.00,701,0.08,NULL,0.00,0,8768968,2011
45,MINNESOTA,MINNESOTA7,1,34171,NULL,861,NULL,8018,NULL,6,NULL,23,NULL,336,NULL,496,NULL,678,NULL,7041,NULL,207,NULL,92,NULL,3058,NULL,53,NULL,150,NULL,2,NULL,414,NULL,1334,NULL,505,NULL,21,NULL,251,NULL,3146,NULL,0,NULL,23,NULL,286,NULL,4390,NULL,0,NULL,4309,NULL,44,NULL,4709,NULL,0,NULL,2597,NULL,NULL,NULL,325,5344861,2011
46,MINNESOTA,MINNESOTA7,0,176051,32.94,5140,0.96,28405,5.31,69,0.01,152,0.03,1196,0.22,3723,0.70,2993,0.56,24268,4.54,977,0.18,167,0.03,16327,3.05,1081,0.20,2382,0.45,30,0.01,1674,0.31,3886,0.73,1688,0.32,885,0.17,1331,0.25,17727,3.32,22,0.00,644,0.12,24543,4.59,20644,3.86,1,0.00,13184,2.47,571,0.11,33289,6.23,0,0.00,2597,0.49,NULL,0.00,0,5344861,2011
47,MISSISSIPPI,MISSISSIPPI,1,7915,NULL,211,NULL,2127,NULL,13,NULL,20,NULL,115,NULL,63,NULL,491,NULL,1531,NULL,85,NULL,20,NULL,1118,NULL,5,NULL,49,NULL,2,NULL,94,NULL,159,NULL,104,NULL,1,NULL,25,NULL,581,NULL,6,NULL,286,NULL,72,NULL,132,NULL,54,NULL,1178,NULL,2,NULL,1327,NULL,14,NULL,368,NULL,NULL,NULL,93,1675272,2011
48,MISSISSIPPI,MISSISSIPPI,0,102765,61.34,2223,1.33,11509,6.87,173,0.10,161,0.10,625,0.37,1264,0.75,2373,1.42,8639,5.16,402,0.24,95,0.06,10911,6.51,639,0.38,1551,0.93,517,0.31,746,0.45,937,0.56,828,0.49,146,0.09,314,0.19,10862,6.48,200,0.12,4016,2.40,11251,6.72,1560,0.93,4409,2.63,6783,4.05,57,0.03,32803,19.58,135,0.08,368,0.22,NULL,0.00,0,1675272,2011
49,MISSOURI,MISSOURI,1,31503,NULL,1171,NULL,8236,NULL,20,NULL,52,NULL,399,NULL,700,NULL,1260,NULL,6608,NULL,255,NULL,113,NULL,4860,NULL,26,NULL,62,NULL,7,NULL,391,NULL,1301,NULL,369,NULL,5,NULL,452,NULL,3245,NULL,4,NULL,55,NULL,304,NULL,1924,NULL,24,NULL,2007,NULL,19,NULL,5261,NULL,0,NULL,1780,NULL,NULL,NULL,401,5667706,2011
50,MISSOURI,MISSOURI,0,295080,52.06,10401,1.84,41476,7.32,252,0.04,382,0.07,2117,0.37,7650,1.35,6475,1.14,33181,5.85,1571,0.28,249,0.04,30529,5.39,1737,0.31,2643,0.47,255,0.05,2699,0.48,5300,0.94,3353,0.59,306,0.05,2018,0.36,35383,6.24,109,0.02,3593,0.63,29447,5.20,10269,1.81,609,0.11,13006,2.29,276,0.05,99891,17.62,0,0.00,1780,0.31,NULL,0.00,0,5667706,2011
51,MONTANA,MONTANA,1,6117,NULL,91,NULL,1422,NULL,0,NULL,7,NULL,4,NULL,80,NULL,57,NULL,1276,NULL,72,NULL,17,NULL,503,NULL,1,NULL,11,NULL,1,NULL,0,NULL,360,NULL,14,NULL,0,NULL,19,NULL,402,NULL,0,NULL,26,NULL,39,NULL,1060,NULL,0,NULL,582,NULL,0,NULL,1001,NULL,0,NULL,585,NULL,NULL,NULL,92,898221,2011
52,MONTANA,MONTANA,0,29678,33.04,829,0.92,4118,4.58,10,0.01,40,0.04,45,0.05,734,0.82,225,0.25,3698,4.12,163,0.18,32,0.04,3557,3.96,42,0.05,171,0.19,34,0.04,6,0.01,965,1.07,71,0.08,5,0.01,61,0.07,1790,1.99,0,0.00,321,0.36,4251,4.73,3915,4.36,0,0.00,3458,3.85,4,0.00,5495,6.12,0,0.00,585,0.65,NULL,0.00,0,898221,2011
53,NEBRASKA,NEBRASKA,1,12640,NULL,195,NULL,3424,NULL,7,NULL,30,NULL,61,NULL,97,NULL,264,NULL,3005,NULL,94,NULL,61,NULL,1609,NULL,13,NULL,56,NULL,3,NULL,115,NULL,875,NULL,117,NULL,2,NULL,127,NULL,1319,NULL,0,NULL,17,NULL,163,NULL,1733,NULL,0,NULL,761,NULL,1,NULL,1887,NULL,0,NULL,223,NULL,NULL,NULL,205,1658043,2011
54,NEBRASKA,NEBRASKA,0,81890,49.39,2111,1.27,11062,6.67,53,0.03,213,0.13,355,0.21,1490,0.90,902,0.54,9707,5.85,364,0.22,89,0.05,8348,5.03,304,0.18,1230,0.74,75,0.05,694,0.42,2587,1.56,835,0.50,143,0.09,560,0.34,10423,6.29,4,0.00,1355,0.82,12005,7.24,10191,6.15,0,0.00,3761,2.27,17,0.01,15961,9.63,1,0.00,223,0.13,NULL,0.00,0,1658043,2011
55,NEVADA,NEVADA,1,16588,NULL,655,NULL,3317,NULL,2,NULL,23,NULL,263,NULL,367,NULL,498,NULL,2461,NULL,74,NULL,284,NULL,1902,NULL,14,NULL,26,NULL,6,NULL,154,NULL,982,NULL,231,NULL,70,NULL,101,NULL,1810,NULL,6,NULL,17,NULL,75,NULL,1447,NULL,29,NULL,940,NULL,40,NULL,2808,NULL,3,NULL,1955,NULL,NULL,NULL,23,2432857,2011
56,NEVADA,NEVADA,0,141908,58.33,5690,2.34,14355,5.90,107,0.04,168,0.07,1491,0.61,3924,1.61,2579,1.06,10895,4.48,505,0.21,376,0.15,15863,6.52,700,0.29,1354,0.56,403,0.17,1377,0.57,2230,0.92,1499,0.62,3941,1.62,1243,0.51,15562,6.40,31,0.01,1159,0.48,11834,4.86,7709,3.17,200,0.08,2765,1.14,2096,0.86,49936,20.53,6,0.00,1955,0.80,NULL,0.00,0,2432857,2011
57,NEW HAMPSHIRE,NEW HAMPSHIRE,1,5299,NULL,85,NULL,810,NULL,0,NULL,4,NULL,12,NULL,69,NULL,70,NULL,697,NULL,19,NULL,24,NULL,915,NULL,2,NULL,25,NULL,5,NULL,94,NULL,318,NULL,7,NULL,1,NULL,33,NULL,580,NULL,2,NULL,4,NULL,44,NULL,655,NULL,190,NULL,235,NULL,0,NULL,1277,NULL,0,NULL,17,NULL,NULL,NULL,133,1029821,2011
