state,city,population,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,year,state_original,city_original,forcible_rape,violent_crimes,property_crimes,murder_and_nonnegligent_manslaughter_per_capita,robbery_per_capita,aggravated_assault_per_capita,burglary_per_capita,larceny_theft_per_capita,motor_vehicle_theft_per_capita,forcible_rape_per_capita,violent_crimes_per_capita,property_crimes_per_capita
OHIO,Springboro,18182,0,0,4,16,106,5,2015,OHIO,Springboro,6,10,127,0.00,0.00,0.22,0.88,5.83,0.27,0.33,0.55,6.98
OHIO,Springfield,59804,12,163,149,1045,2449,205,2015,OHIO,Springfield,31,355,3699,0.20,2.73,2.49,17.47,40.95,3.43,0.52,5.94,61.85
OHIO,Springfield Township Hamilton County,36574,4,33,22,202,524,38,2015,OHIO,Springfield Township Hamilton County,12,71,764,0.11,0.90,0.60,5.52,14.33,1.04,0.33,1.94,20.89
OHIO,Springfield Township Mahoning County,6487,0,0,3,16,39,6,2015,OHIO,Springfield Township Mahoning County,2,5,61,0.00,0.00,0.46,2.47,6.01,0.92,0.31,0.77,9.40
OHIO,St. Clair Township,7772,0,1,0,2,68,0,2015,OHIO,St. Clair Township,0,1,70,0.00,0.13,0.00,0.26,8.75,0.00,0.00,0.13,9.01
OHIO,Stow,34762,0,12,1,88,682,5,2015,OHIO,Stow,10,23,775,0.00,0.35,0.03,2.53,19.62,0.14,0.29,0.66,22.29
OHIO,St. Paris,2021,0,0,0,4,1,1,2015,OHIO,St. Paris,0,0,6,0.00,0.00,0.00,1.98,0.49,0.49,0.00,0.00,2.97
OHIO,Strasburg,2670,0,2,2,10,22,4,2015,OHIO,Strasburg,0,4,36,0.00,0.75,0.75,3.75,8.24,1.50,0.00,1.50,13.48
OHIO,Streetsboro,16286,0,3,5,38,233,6,2015,OHIO,Streetsboro,4,12,277,0.00,0.18,0.31,2.33,14.31,0.37,0.25,0.74,17.01
OHIO,Strongsville,44638,0,15,19,58,782,9,2015,OHIO,Strongsville,1,35,849,0.00,0.34,0.43,1.30,17.52,0.20,0.02,0.78,19.02
OHIO,Struthers,10380,0,6,13,87,225,5,2015,OHIO,Struthers,3,22,317,0.00,0.58,1.25,8.38,21.68,0.48,0.29,2.12,30.54
OHIO,Sugarcreek Township,8212,0,0,2,12,211,2,2015,OHIO,Sugarcreek Township,1,3,225,0.00,0.00,0.24,1.46,25.69,0.24,0.12,0.37,27.40
OHIO,Sunbury,5037,0,1,0,7,36,4,2015,OHIO,Sunbury,1,2,47,0.00,0.20,0.00,1.39,7.15,0.79,0.20,0.40,9.33
OHIO,Sylvania Township,29497,0,9,12,93,77,21,2015,OHIO,Sylvania Township,1,22,191,0.00,0.31,0.41,3.15,2.61,0.71,0.03,0.75,6.48
OHIO,Tallmadge,17519,0,4,5,68,298,18,2015,OHIO,Tallmadge,NULL,17,384,0.00,0.23,0.29,3.88,17.01,1.03,0.00,0.97,21.92
OHIO,Tiffin,17690,0,2,16,59,234,9,2015,OHIO,Tiffin,NULL,19,302,0.00,0.11,0.90,3.34,13.23,0.51,0.00,1.07,17.07
OHIO,Tipp City,9900,0,6,1,22,145,3,2015,OHIO,Tipp City,1,8,170,0.00,0.61,0.10,2.22,14.65,0.30,0.10,0.81,17.17
OHIO,Toledo,279552,24,902,2002,4127,7483,900,2015,OHIO,Toledo,228,3156,12510,0.09,3.23,7.16,14.76,26.77,3.22,0.82,11.29,44.75
OHIO,Toronto,4869,0,0,0,2,6,0,2015,OHIO,Toronto,2,2,8,0.00,0.00,0.00,0.41,1.23,0.00,0.41,0.41,1.64
OHIO,Trotwood,24100,4,42,21,367,534,83,2015,OHIO,Trotwood,17,84,984,0.17,1.74,0.87,15.23,22.16,3.44,0.71,3.49,40.83
OHIO,Troy,25649,0,10,26,107,606,11,2015,OHIO,Troy,22,58,724,0.00,0.39,1.01,4.17,23.63,0.43,0.86,2.26,28.23
OHIO,Twinsburg,18849,1,3,17,22,124,4,2015,OHIO,Twinsburg,1,22,150,0.05,0.16,0.90,1.17,6.58,0.21,0.05,1.17,7.96
OHIO,Uhrichsville,5402,0,1,1,17,42,2,2015,OHIO,Uhrichsville,3,5,61,0.00,0.19,0.19,3.15,7.77,0.37,0.56,0.93,11.29
OHIO,Uniontown,3327,0,0,2,14,57,4,2015,OHIO,Uniontown,0,2,75,0.00,0.00,0.60,4.21,17.13,1.20,0.00,0.60,22.54
OHIO,Union Township Clermont County,47835,1,13,11,136,1121,34,2015,OHIO,Union Township Clermont County,16,41,1291,0.02,0.27,0.23,2.84,23.43,0.71,0.33,0.86,26.99
OHIO,University Heights,13126,0,9,7,20,253,12,2015,OHIO,University Heights,NULL,21,285,0.00,0.69,0.53,1.52,19.27,0.91,0.00,1.60,21.71
