state,city,population,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,year,state_original,city_original,forcible_rape,violent_crimes,property_crimes,murder_and_nonnegligent_manslaughter_per_capita,robbery_per_capita,aggravated_assault_per_capita,burglary_per_capita,larceny_theft_per_capita,motor_vehicle_theft_per_capita,forcible_rape_per_capita,violent_crimes_per_capita,property_crimes_per_capita
ALABAMA,Birmingham,212549,42,472,1223,1292,4350,816,2017,ALABAMA,Birmingham,92,1829,6458,0.20,2.22,5.75,6.08,20.47,3.84,0.43,8.61,30.38
ALABAMA,Mobile,249921,20,235,617,1507,4344,631,2017,ALABAMA,Mobile,53,925,6482,0.08,0.94,2.47,6.03,17.38,2.52,0.21,3.70,25.94
ALABAMA,Montgomery,199565,19,185,417,1031,2797,418,2017,ALABAMA,Montgomery,35,656,4246,0.10,0.93,2.09,5.17,14.02,2.09,0.18,3.29,21.28
ALASKA,Anchorage,299097,13,369,1129,1089,5180,1439,2017,ALASKA,Anchorage,196,1707,7708,0.04,1.23,3.77,3.64,17.32,4.81,0.66,5.71,25.77
ARIZONA,Chandler,265922,1,72,163,401,2298,207,2017,ARIZONA,Chandler,67,303,2906,0.00,0.27,0.61,1.51,8.64,0.78,0.25,1.14,10.93
ARIZONA,Glendale,242938,7,247,308,848,4198,608,2017,ARIZONA,Glendale,36,598,5654,0.03,1.02,1.27,3.49,17.28,2.50,0.15,2.46,23.27
ARIZONA,Mesa,478277,11,221,641,962,4069,441,2017,ARIZONA,Mesa,127,1000,5472,0.02,0.46,1.34,2.01,8.51,0.92,0.27,2.09,11.44
ARIZONA,Scottsdale,240885,2,55,89,437,2115,132,2017,ARIZONA,Scottsdale,47,193,2684,0.01,0.23,0.37,1.81,8.78,0.55,0.20,0.80,11.14
ARIZONA,Surprise,130679,1,21,30,124,1100,76,2017,ARIZONA,Surprise,5,57,1300,0.01,0.16,0.23,0.95,8.42,0.58,0.04,0.44,9.95
ARIZONA,Tempe,178654,3,120,266,502,3083,227,2017,ARIZONA,Tempe,74,463,3812,0.02,0.67,1.49,2.81,17.26,1.27,0.41,2.59,21.34
ARKANSAS,Little Rock,198800,28,257,1360,1252,5038,601,2017,ARKANSAS,Little Rock,92,1737,6891,0.14,1.29,6.84,6.30,25.34,3.02,0.46,8.74,34.66
CALIFORNIA,Anaheim,353504,6,218,314,652,3190,787,2017,CALIFORNIA,Anaheim,63,601,4629,0.02,0.62,0.89,1.84,9.02,2.23,0.18,1.70,13.09
CALIFORNIA,Antioch,112090,4,127,153,301,1037,535,2017,CALIFORNIA,Antioch,22,306,1873,0.04,1.13,1.37,2.69,9.25,4.77,0.20,2.73,16.71
CALIFORNIA,Bakersfield,378788,22,365,494,1643,4621,1306,2017,CALIFORNIA,Bakersfield,48,929,7570,0.06,0.96,1.30,4.34,12.20,3.45,0.13,2.45,19.98
CALIFORNIA,Berkeley,122651,1,180,102,382,2140,291,2017,CALIFORNIA,Berkeley,39,322,2813,0.01,1.47,0.83,3.11,17.45,2.37,0.32,2.63,22.94
CALIFORNIA,Burbank,105720,0,40,66,158,1187,138,2017,CALIFORNIA,Burbank,7,113,1483,0.00,0.38,0.62,1.49,11.23,1.31,0.07,1.07,14.03
CALIFORNIA,Carlsbad,115040,0,17,73,204,745,65,2017,CALIFORNIA,Carlsbad,16,106,1014,0.00,0.15,0.63,1.77,6.48,0.57,0.14,0.92,8.81
CALIFORNIA,Chula Vista,270175,0,135,206,310,1232,342,2017,CALIFORNIA,Chula Vista,29,370,1884,0.00,0.50,0.76,1.15,4.56,1.27,0.11,1.37,6.97
CALIFORNIA,Clovis,105865,2,36,85,245,1177,94,2017,CALIFORNIA,Clovis,23,144,1516,0.02,0.34,0.80,2.31,11.12,0.89,0.22,1.36,14.32
CALIFORNIA,Concord,129903,2,85,113,203,1499,428,2017,CALIFORNIA,Concord,21,221,2130,0.02,0.65,0.87,1.56,11.54,3.29,0.16,1.70,16.40
CALIFORNIA,Corona,166534,1,43,42,308,1213,286,2017,CALIFORNIA,Corona,23,108,1807,0.01,0.26,0.25,1.85,7.28,1.72,0.14,0.65,10.85
CALIFORNIA,Costa Mesa,113816,2,69,69,342,1681,298,2017,CALIFORNIA,Costa Mesa,27,167,2321,0.02,0.61,0.61,3.00,14.77,2.62,0.24,1.47,20.39
CALIFORNIA,Daly City,107640,0,58,56,104,629,96,2017,CALIFORNIA,Daly City,30,144,829,0.00,0.54,0.52,0.97,5.84,0.89,0.28,1.34,7.70
CALIFORNIA,Downey,114704,1,84,85,272,962,417,2017,CALIFORNIA,Downey,13,183,1651,0.01,0.73,0.74,2.37,8.39,3.64,0.11,1.60,14.39
CALIFORNIA,El Cajon,104483,1,62,103,231,757,219,2017,CALIFORNIA,El Cajon,24,189,1207,0.01,0.59,0.99,2.21,7.25,2.10,0.23,1.81,11.55
CALIFORNIA,Elk Grove,169742,0,47,208,208,862,109,2017,CALIFORNIA,Elk Grove,18,273,1179,0.00,0.28,1.23,1.23,5.08,0.64,0.11,1.61,6.95
CALIFORNIA,El Monte,117354,4,95,117,361,677,358,2017,CALIFORNIA,El Monte,23,239,1396,0.03,0.81,1.00,3.08,5.77,3.05,0.20,2.04,11.90
CALIFORNIA,Escondido,152897,3,68,160,215,877,177,2017,CALIFORNIA,Escondido,21,252,1269,0.02,0.44,1.05,1.41,5.74,1.16,0.14,1.65,8.30
CALIFORNIA,Fairfield,114521,5,99,161,230,975,228,2017,CALIFORNIA,Fairfield,18,283,1433,0.04,0.86,1.41,2.01,8.51,1.99,0.16,2.47,12.51
CALIFORNIA,Fontana,209531,4,81,203,295,1089,456,2017,CALIFORNIA,Fontana,33,321,1840,0.02,0.39,0.97,1.41,5.20,2.18,0.16,1.53,8.78
CALIFORNIA,Fremont,235881,0,88,84,350,1870,509,2017,CALIFORNIA,Fremont,30,202,2729,0.00,0.37,0.36,1.48,7.93,2.16,0.13,0.86,11.57
CALIFORNIA,Fresno,524796,33,502,888,1860,6908,1488,2017,CALIFORNIA,Fresno,90,1513,10256,0.06,0.96,1.69,3.54,13.16,2.84,0.17,2.88,19.54
CALIFORNIA,Fullerton,141968,1,41,61,154,1620,210,2017,CALIFORNIA,Fullerton,31,133,1984,0.01,0.29,0.43,1.08,11.41,1.48,0.22,0.94,13.98
CALIFORNIA,Garden Grove,176230,2,112,184,427,1458,324,2017,CALIFORNIA,Garden Grove,6,304,2209,0.01,0.64,1.04,2.42,8.27,1.84,0.03,1.73,12.53
CALIFORNIA,Glendale,202903,1,72,69,246,1150,157,2017,CALIFORNIA,Glendale,13,155,1553,0.00,0.35,0.34,1.21,5.67,0.77,0.06,0.76,7.65
CALIFORNIA,Hayward,161122,2,125,99,247,1355,921,2017,CALIFORNIA,Hayward,34,260,2523,0.01,0.78,0.61,1.53,8.41,5.72,0.21,1.61,15.66
CALIFORNIA,Huntington Beach,204071,0,33,150,335,1565,233,2017,CALIFORNIA,Huntington Beach,22,205,2133,0.00,0.16,0.74,1.64,7.67,1.14,0.11,1.00,10.45
CALIFORNIA,Inglewood,112059,4,204,179,242,685,437,2017,CALIFORNIA,Inglewood,22,409,1364,0.04,1.82,1.60,2.16,6.11,3.90,0.20,3.65,12.17
CALIFORNIA,Irvine,266663,2,28,33,327,1373,102,2017,CALIFORNIA,Irvine,23,86,1802,0.01,0.11,0.12,1.23,5.15,0.38,0.09,0.32,6.76
CALIFORNIA,Jurupa Valley,101316,3,36,89,155,858,339,2017,CALIFORNIA,Jurupa Valley,10,138,1352,0.03,0.36,0.88,1.53,8.47,3.35,0.10,1.36,13.34
CALIFORNIA,Lancaster,161963,7,143,348,438,794,329,2017,CALIFORNIA,Lancaster,29,527,1561,0.04,0.88,2.15,2.70,4.90,2.03,0.18,3.25,9.64
CALIFORNIA,Long Beach,476476,11,618,829,1442,3416,1422,2017,CALIFORNIA,Long Beach,93,1551,6280,0.02,1.30,1.74,3.03,7.17,2.98,0.20,3.26,13.18
CALIFORNIA,Los Angeles,4007905,138,5165,7925,8252,32363,9507,2017,CALIFORNIA,Los Angeles,1212,14440,50122,0.03,1.29,1.98,2.06,8.07,2.37,0.30,3.60,12.51
CALIFORNIA,Modesto,212880,13,253,689,664,2897,718,2017,CALIFORNIA,Modesto,54,1009,4279,0.06,1.19,3.24,3.12,13.61,3.37,0.25,4.74,20.10
CALIFORNIA,Moreno Valley,206224,6,166,185,580,2132,591,2017,CALIFORNIA,Moreno Valley,15,372,3303,0.03,0.80,0.90,2.81,10.34,2.87,0.07,1.80,16.02
CALIFORNIA,Murrieta,111043,1,15,13,140,608,89,2017,CALIFORNIA,Murrieta,11,40,837,0.01,0.14,0.12,1.26,5.48,0.80,0.10,0.36,7.54
CALIFORNIA,Norwalk,107453,2,65,126,221,532,237,2017,CALIFORNIA,Norwalk,9,202,990,0.02,0.60,1.17,2.06,4.95,2.21,0.08,1.88,9.21
CALIFORNIA,Oakland,424998,33,1365,1199,1431,8584,3008,2017,CALIFORNIA,Oakland,185,2782,13023,0.08,3.21,2.82,3.37,20.20,7.08,0.44,6.55,30.64
CALIFORNIA,Oceanside,177340,4,82,213,317,1568,215,2017,CALIFORNIA,Oceanside,36,335,2100,0.02,0.46,1.20,1.79,8.84,1.21,0.20,1.89,11.84
CALIFORNIA,Ontario,172606,3,96,151,344,1431,443,2017,CALIFORNIA,Ontario,59,309,2218,0.02,0.56,0.87,1.99,8.29,2.57,0.34,1.79,12.85
CALIFORNIA,Orange,141841,1,37,79,216,873,203,2017,CALIFORNIA,Orange,6,123,1292,0.01,0.26,0.56,1.52,6.15,1.43,0.04,0.87,9.11
CALIFORNIA,Oxnard,209048,10,223,197,412,1897,386,2017,CALIFORNIA,Oxnard,35,465,2695,0.05,1.07,0.94,1.97,9.07,1.85,0.17,2.22,12.89
CALIFORNIA,Palmdale,159441,2,126,192,270,801,207,2017,CALIFORNIA,Palmdale,22,342,1278,0.01,0.79,1.20,1.69,5.02,1.30,0.14,2.15,8.02
CALIFORNIA,Pasadena,143288,4,120,141,390,960,205,2017,CALIFORNIA,Pasadena,19,284,1555,0.03,0.84,0.98,2.72,6.70,1.43,0.13,1.98,10.85
CALIFORNIA,Pomona,154109,10,180,184,349,1299,574,2017,CALIFORNIA,Pomona,48,422,2222,0.06,1.17,1.19,2.26,8.43,3.72,0.31,2.74,14.42
CALIFORNIA,Rancho Cucamonga,177089,0,50,74,446,1378,180,2017,CALIFORNIA,Rancho Cucamonga,24,148,2004,0.00,0.28,0.42,2.52,7.78,1.02,0.14,0.84,11.32
CALIFORNIA,Rialto,103893,2,75,102,229,314,299,2017,CALIFORNIA,Rialto,9,188,842,0.02,0.72,0.98,2.20,3.02,2.88,0.09,1.81,8.10
CALIFORNIA,Richmond,110868,7,218,266,402,1105,627,2017,CALIFORNIA,Richmond,25,516,2134,0.06,1.97,2.40,3.63,9.97,5.66,0.23,4.65,19.25
CALIFORNIA,Riverside,325896,6,253,455,926,3431,912,2017,CALIFORNIA,Riverside,78,792,5269,0.02,0.78,1.40,2.84,10.53,2.80,0.24,2.43,16.17
CALIFORNIA,Roseville,132566,0,40,58,180,1369,157,2017,CALIFORNIA,Roseville,11,109,1706,0.00,0.30,0.44,1.36,10.33,1.18,0.08,0.82,12.87
CALIFORNIA,Sacramento,495471,21,541,1063,1495,4519,1298,2017,CALIFORNIA,Sacramento,53,1678,7312,0.04,1.09,2.15,3.02,9.12,2.62,0.11,3.39,14.76
CALIFORNIA,Salinas,158729,18,172,279,439,1187,721,2017,CALIFORNIA,Salinas,39,508,2347,0.11,1.08,1.76,2.77,7.48,4.54,0.25,3.20,14.79
CALIFORNIA,San Bernardino,217303,21,398,938,1044,1816,1112,2017,CALIFORNIA,San Bernardino,80,1437,3972,0.10,1.83,4.32,4.80,8.36,5.12,0.37,6.61,18.28
CALIFORNIA,San Diego,1413414,17,694,1539,2032,8552,2589,2017,CALIFORNIA,San Diego,265,2515,13173,0.01,0.49,1.09,1.44,6.05,1.83,0.19,1.78,9.32
CALIFORNIA,San Francisco,871155,34,1599,1249,2568,22449,2637,2017,CALIFORNIA,San Francisco,187,3069,27654,0.04,1.84,1.43,2.95,25.77,3.03,0.21,3.52,31.74
CALIFORNIA,San Jose,1041844,15,604,998,1973,6463,4092,2017,CALIFORNIA,San Jose,299,1916,12528,0.01,0.58,0.96,1.89,6.20,3.93,0.29,1.84,12.02
CALIFORNIA,San Mateo,104802,0,26,87,299,614,91,2017,CALIFORNIA,San Mateo,9,122,1004,0.00,0.25,0.83,2.85,5.86,0.87,0.09,1.16,9.58
CALIFORNIA,Santa Ana,337419,10,304,388,459,2176,1134,2017,CALIFORNIA,Santa Ana,85,787,3769,0.03,0.90,1.15,1.36,6.45,3.36,0.25,2.33,11.17
CALIFORNIA,Santa Clara,128179,2,22,49,161,1181,196,2017,CALIFORNIA,Santa Clara,17,88,1538,0.02,0.17,0.38,1.26,9.21,1.53,0.13,0.69,12.00
CALIFORNIA,Santa Clarita,219611,2,59,93,343,1080,214,2017,CALIFORNIA,Santa Clarita,19,173,1637,0.01,0.27,0.42,1.56,4.92,0.97,0.09,0.79,7.45
CALIFORNIA,Santa Maria,106200,6,72,127,218,629,371,2017,CALIFORNIA,Santa Maria,25,224,1218,0.06,0.68,1.20,2.05,5.92,3.49,0.24,2.11,11.47
CALIFORNIA,Santa Rosa,176383,4,60,253,253,1119,195,2017,CALIFORNIA,Santa Rosa,58,375,1567,0.02,0.34,1.43,1.43,6.34,1.11,0.33,2.13,8.88
CALIFORNIA,Simi Valley,127252,0,16,56,161,678,78,2017,CALIFORNIA,Simi Valley,9,81,917,0.00,0.13,0.44,1.27,5.33,0.61,0.07,0.64,7.21
CALIFORNIA,Stockton,308348,19,578,1454,1146,3548,1071,2017,CALIFORNIA,Stockton,69,2120,5765,0.06,1.87,4.72,3.72,11.51,3.47,0.22,6.88,18.70
CALIFORNIA,Sunnyvale,154108,1,27,39,247,865,140,2017,CALIFORNIA,Sunnyvale,14,81,1252,0.01,0.18,0.25,1.60,5.61,0.91,0.09,0.53,8.12
CALIFORNIA,Temecula,114381,2,18,36,204,1083,149,2017,CALIFORNIA,Temecula,2,56,1436,0.02,0.16,0.31,1.78,9.47,1.30,0.02,0.49,12.55
CALIFORNIA,Thousand Oaks,129853,0,11,40,137,626,74,2017,CALIFORNIA,Thousand Oaks,24,75,837,0.00,0.08,0.31,1.06,4.82,0.57,0.18,0.58,6.45
CALIFORNIA,Torrance,149078,0,56,72,300,999,245,2017,CALIFORNIA,Torrance,17,145,1544,0.00,0.38,0.48,2.01,6.70,1.64,0.11,0.97,10.36
CALIFORNIA,Vallejo,122293,9,187,298,1256,603,510,2017,CALIFORNIA,Vallejo,46,540,2369,0.07,1.53,2.44,10.27,4.93,4.17,0.38,4.42,19.37
CALIFORNIA,Ventura,110228,1,56,143,297,1332,193,2017,CALIFORNIA,Ventura,31,231,1822,0.01,0.51,1.30,2.69,12.08,1.75,0.28,2.10,16.53
CALIFORNIA,Victorville,123438,8,126,249,401,791,333,2017,CALIFORNIA,Victorville,29,412,1525,0.06,1.02,2.02,3.25,6.41,2.70,0.23,3.34,12.35
CALIFORNIA,Visalia,131186,6,79,124,470,1347,317,2017,CALIFORNIA,Visalia,49,258,2134,0.05,0.60,0.95,3.58,10.27,2.42,0.37,1.97,16.27
CALIFORNIA,Vista,102307,4,54,109,159,460,127,2017,CALIFORNIA,Vista,22,189,746,0.04,0.53,1.07,1.55,4.50,1.24,0.22,1.85,7.29
CALIFORNIA,West Covina,108950,2,75,55,259,811,196,2017,CALIFORNIA,West Covina,20,150,1266,0.02,0.69,0.50,2.38,7.44,1.80,0.18,1.38,11.62
COLORADO,Aurora,366477,8,342,527,800,3534,940,2017,COLORADO,Aurora,116,993,5274,0.02,0.93,1.44,2.18,9.64,2.57,0.32,2.71,14.39
COLORADO,Centennial,111479,3,9,60,152,673,83,2017,COLORADO,Centennial,12,84,908,0.03,0.08,0.54,1.36,6.04,0.74,0.11,0.75,8.15
COLORADO,Colorado Springs,464113,15,221,774,1132,4985,968,2017,COLORADO,Colorado Springs,270,1280,7085,0.03,0.48,1.67,2.44,10.74,2.09,0.58,2.76,15.27
COLORADO,Denver,699259,26,541,1511,2007,7565,2319,2017,COLORADO,Denver,296,2374,11891,0.04,0.77,2.16,2.87,10.82,3.32,0.42,3.40,17.01
COLORADO,Fort Collins,164670,1,17,145,239,1772,108,2017,COLORADO,Fort Collins,13,176,2119,0.01,0.10,0.88,1.45,10.76,0.66,0.08,1.07,12.87
COLORADO,Greeley,102491,1,23,140,195,922,141,2017,COLORADO,Greeley,27,191,1258,0.01,0.22,1.37,1.90,9.00,1.38,0.26,1.86,12.27
COLORADO,Lakewood,154553,3,104,299,434,2750,546,2017,COLORADO,Lakewood,67,473,3730,0.02,0.67,1.93,2.81,17.79,3.53,0.43,3.06,24.13
COLORADO,Pueblo,109927,1,94,341,607,2108,528,2017,COLORADO,Pueblo,102,538,3243,0.01,0.86,3.10,5.52,19.18,4.80,0.93,4.89,29.50
CONNECTICUT,Bridgeport,148180,12,265,295,287,1017,353,2017,CONNECTICUT,Bridgeport,27,599,1657,0.08,1.79,1.99,1.94,6.86,2.38,0.18,4.04,11.18
CONNECTICUT,Hartford,123736,13,190,381,341,1638,317,2017,CONNECTICUT,Hartford,27,611,2296,0.11,1.54,3.08,2.76,13.24,2.56,0.22,4.94,18.56
CONNECTICUT,Stamford,130116,0,40,80,99,730,106,2017,CONNECTICUT,Stamford,5,125,935,0.00,0.31,0.61,0.76,5.61,0.81,0.04,0.96,7.19
CONNECTICUT,Waterbury,108491,2,123,91,278,1193,393,2017,CONNECTICUT,Waterbury,23,239,1864,0.02,1.13,0.84,2.56,11.00,3.62,0.21,2.20,17.18
DISTRICT OF COLUMBIA,Washington,681170,55,1102,1691,928,12230,1212,2017,DISTRICT OF COLUMBIA,Washington,227,3075,14370,0.08,1.62,2.48,1.36,17.95,1.78,0.33,4.51,21.10
FLORIDA,Cape Coral,179631,3,12,95,290,1126,72,2017,FLORIDA,Cape Coral,8,118,1488,0.02,0.07,0.53,1.61,6.27,0.40,0.04,0.66,8.28
FLORIDA,Clearwater,113904,2,71,178,249,1476,123,2017,FLORIDA,Clearwater,42,293,1848,0.02,0.62,1.56,2.19,12.96,1.08,0.37,2.57,16.22
FLORIDA,Coral Springs,131159,0,35,63,112,1064,111,2017,FLORIDA,Coral Springs,27,125,1287,0.00,0.27,0.48,0.85,8.11,0.85,0.21,0.95,9.81
FLORIDA,Davie,102692,1,44,66,145,1094,108,2017,FLORIDA,Davie,13,124,1347,0.01,0.43,0.64,1.41,10.65,1.05,0.13,1.21,13.12
FLORIDA,Fort Lauderdale,181218,4,214,268,821,3978,447,2017,FLORIDA,Fort Lauderdale,37,523,5246,0.02,1.18,1.48,4.53,21.95,2.47,0.20,2.89,28.95
FLORIDA,Gainesville,131242,2,94,295,229,1854,142,2017,FLORIDA,Gainesville,81,472,2225,0.02,0.72,2.25,1.74,14.13,1.08,0.62,3.60,16.95
FLORIDA,Hialeah,239451,2,77,138,283,2042,348,2017,FLORIDA,Hialeah,15,232,2673,0.01,0.32,0.58,1.18,8.53,1.45,0.06,0.97,11.16
FLORIDA,Hollywood,151510,3,90,110,393,1754,244,2017,FLORIDA,Hollywood,13,216,2391,0.02,0.59,0.73,2.59,11.58,1.61,0.09,1.43,15.78
FLORIDA,Jacksonville,880557,52,670,1717,2832,11251,1406,2017,FLORIDA,Jacksonville,257,2696,15489,0.06,0.76,1.95,3.22,12.78,1.60,0.29,3.06,17.59
FLORIDA,Lakeland,105766,1,39,79,268,1540,109,2017,FLORIDA,Lakeland,35,154,1917,0.01,0.37,0.75,2.53,14.56,1.03,0.33,1.46,18.12
FLORIDA,Miami,449469,26,510,1088,1187,7044,1034,2017,FLORIDA,Miami,41,1665,9265,0.06,1.13,2.42,2.64,15.67,2.30,0.09,3.70,20.61
FLORIDA,Miami Gardens,114349,11,108,321,214,1314,199,2017,FLORIDA,Miami Gardens,8,448,1727,0.10,0.94,2.81,1.87,11.49,1.74,0.07,3.92,15.10
FLORIDA,Miramar,140288,2,51,158,167,817,119,2017,FLORIDA,Miramar,14,225,1103,0.01,0.36,1.13,1.19,5.82,0.85,0.10,1.60,7.86
FLORIDA,Orlando,277719,13,279,623,1272,5904,730,2017,FLORIDA,Orlando,85,1000,7906,0.05,1.00,2.24,4.58,21.26,2.63,0.31,3.60,28.47
FLORIDA,Palm Bay,108823,5,29,222,221,723,80,2017,FLORIDA,Palm Bay,23,279,1024,0.05,0.27,2.04,2.03,6.64,0.74,0.21,2.56,9.41
FLORIDA,Pembroke Pines,169156,1,46,118,189,1529,173,2017,FLORIDA,Pembroke Pines,15,179,1891,0.01,0.27,0.70,1.12,9.04,1.02,0.09,1.06,11.18
FLORIDA,Pompano Beach,109362,8,220,237,388,1888,436,2017,FLORIDA,Pompano Beach,32,497,2712,0.07,2.01,2.17,3.55,17.26,3.99,0.29,4.54,24.80
FLORIDA,Port St. Lucie,182365,2,14,64,178,867,44,2017,FLORIDA,Port St. Lucie,8,86,1089,0.01,0.08,0.35,0.98,4.75,0.24,0.04,0.47,5.97
FLORIDA,St. Petersburg,259510,12,243,638,940,4814,523,2017,FLORIDA,St. Petersburg,62,955,6277,0.05,0.94,2.46,3.62,18.55,2.02,0.24,3.68,24.19
FLORIDA,Tallahassee,191564,6,203,579,762,3507,368,2017,FLORIDA,Tallahassee,103,891,4637,0.03,1.06,3.02,3.98,18.31,1.92,0.54,4.65,24.21
FLORIDA,Tampa,375904,20,198,633,590,2267,266,2017,FLORIDA,Tampa,53,904,3123,0.05,0.53,1.68,1.57,6.03,0.71,0.14,2.40,8.31
FLORIDA,West Palm Beach,108074,15,163,299,451,2160,284,2017,FLORIDA,West Palm Beach,38,515,2895,0.14,1.51,2.77,4.17,19.99,2.63,0.35,4.77,26.79
GEORGIA,Athens-clarke County,123934,2,55,168,335,1396,103,2017,GEORGIA,Athens-clarke County,30,255,1834,0.02,0.44,1.36,2.70,11.26,0.83,0.24,2.06,14.80
GEORGIA,Atlanta,472579,37,669,1329,1602,7291,1490,2017,GEORGIA,Atlanta,130,2165,10383,0.08,1.42,2.81,3.39,15.43,3.15,0.28,4.58,21.97
GEORGIA,Columbus,202338,9,207,352,999,2776,328,2017,GEORGIA,Columbus,38,606,4103,0.04,1.02,1.74,4.94,13.72,1.62,0.19,3.00,20.28
GEORGIA,Sandy Springs,107685,0,26,19,194,817,75,2017,GEORGIA,Sandy Springs,8,53,1086,0.00,0.24,0.18,1.80,7.59,0.70,0.07,0.49,10.09
GEORGIA,Savannah-chatham Metropolitan,241296,23,182,284,626,3083,470,2017,GEORGIA,Savannah-chatham Metropolitan,55,544,4179,0.10,0.75,1.18,2.59,12.78,1.95,0.23,2.25,17.32
HAWAII,Honolulu,995572,15,443,593,1571,10043,1649,2017,HAWAII,Honolulu,156,1207,13263,0.02,0.45,0.60,1.58,10.09,1.66,0.16,1.21,13.32
ILLINOIS,Aurora,201159,4,48,177,185,923,87,2017,ILLINOIS,Aurora,30,259,1195,0.02,0.24,0.88,0.92,4.59,0.43,0.15,1.29,5.94
ILLINOIS,Chicago,2725153,328,5385,7486,6262,29423,5613,2017,ILLINOIS,Chicago,808,14007,41298,0.12,1.98,2.75,2.30,10.80,2.06,0.30,5.14,15.15
ILLINOIS,Elgin,112886,0,25,76,101,581,38,2017,ILLINOIS,Elgin,16,117,720,0.00,0.22,0.67,0.89,5.15,0.34,0.14,1.04,6.38
ILLINOIS,Joliet,147886,5,75,168,230,933,64,2017,ILLINOIS,Joliet,33,281,1227,0.03,0.51,1.14,1.56,6.31,0.43,0.22,1.90,8.30
ILLINOIS,Naperville,148070,1,15,35,60,652,20,2017,ILLINOIS,Naperville,14,65,732,0.01,0.10,0.24,0.41,4.40,0.14,0.09,0.44,4.94
ILLINOIS,Peoria,115099,6,140,252,518,1536,117,2017,ILLINOIS,Peoria,31,429,2171,0.05,1.22,2.19,4.50,13.35,1.02,0.27,3.73,18.86
ILLINOIS,Rockford,147363,9,208,880,640,1564,193,2017,ILLINOIS,Rockford,52,1149,2397,0.06,1.41,5.97,4.34,10.61,1.31,0.35,7.80,16.27
ILLINOIS,Springfield,116563,5,116,480,550,1696,150,2017,ILLINOIS,Springfield,42,643,2396,0.04,1.00,4.12,4.72,14.55,1.29,0.36,5.52,20.56
INDIANA,Evansville,119908,4,86,331,425,2268,206,2017,INDIANA,Evansville,30,451,2899,0.03,0.72,2.76,3.54,18.91,1.72,0.25,3.76,24.18
INDIANA,Fort Wayne,261642,12,151,242,611,3343,237,2017,INDIANA,Fort Wayne,57,462,4191,0.05,0.58,0.92,2.34,12.78,0.91,0.22,1.77,16.02
INDIANA,South Bend,101621,9,163,249,629,1630,233,2017,INDIANA,South Bend,47,468,2492,0.09,1.60,2.45,6.19,16.04,2.29,0.46,4.61,24.52
KANSAS,Olathe,135977,1,18,66,74,792,65,2017,KANSAS,Olathe,44,129,931,0.01,0.13,0.49,0.54,5.82,0.48,0.32,0.95,6.85
KANSAS,Overland Park,189104,3,32,114,160,1185,130,2017,KANSAS,Overland Park,50,199,1475,0.02,0.17,0.60,0.85,6.27,0.69,0.26,1.05,7.80
KANSAS,Topeka,127166,15,112,219,467,2280,377,2017,KANSAS,Topeka,25,371,3124,0.12,0.88,1.72,3.67,17.93,2.96,0.20,2.92,24.57
KENTUCKY,Lexington,317853,9,281,163,1113,4150,621,2017,KENTUCKY,Lexington,91,544,5884,0.03,0.88,0.51,3.50,13.06,1.95,0.29,1.71,18.51
KENTUCKY,Louisville Metro,683825,73,655,1369,2793,8796,1884,2017,KENTUCKY,Louisville Metro,73,2170,13473,0.11,0.96,2.00,4.08,12.86,2.76,0.11,3.17,19.70
LOUISIANA,Baton Rouge,228389,33,448,677,1308,4317,495,2017,LOUISIANA,Baton Rouge,47,1205,6120,0.14,1.96,2.96,5.73,18.90,2.17,0.21,5.28,26.80
LOUISIANA,Lafayette,128923,9,94,246,523,2431,162,2017,LOUISIANA,Lafayette,8,357,3116,0.07,0.73,1.91,4.06,18.86,1.26,0.06,2.77,24.17
LOUISIANA,New Orleans,397208,96,681,1189,1178,6094,1267,2017,LOUISIANA,New Orleans,263,2229,8539,0.24,1.71,2.99,2.97,15.34,3.19,0.66,5.61,21.50
MARYLAND,Baltimore,618385,170,2780,2969,3808,8033,2621,2017,MARYLAND,Baltimore,176,6095,14462,0.27,4.50,4.80,6.16,12.99,4.24,0.28,9.86,23.39
MASSACHUSETTS,Cambridge,111030,2,38,101,136,727,43,2017,MASSACHUSETTS,Cambridge,9,148,906,0.02,0.34,0.91,1.22,6.55,0.39,0.08,1.33,8.16
MASSACHUSETTS,Lowell,111027,1,64,68,221,683,228,2017,MASSACHUSETTS,Lowell,3,136,1132,0.01,0.58,0.61,1.99,6.15,2.05,0.03,1.22,10.20
MASSACHUSETTS,Springfield,154102,8,167,406,582,1401,206,2017,MASSACHUSETTS,Springfield,40,621,2189,0.05,1.08,2.63,3.78,9.09,1.34,0.26,4.03,14.20
MASSACHUSETTS,Worcester,184595,2,143,515,400,1274,199,2017,MASSACHUSETTS,Worcester,17,677,1873,0.01,0.77,2.79,2.17,6.90,1.08,0.09,3.67,10.15
MICHIGAN,Ann Arbor,117688,0,29,71,110,715,48,2017,MICHIGAN,Ann Arbor,26,126,873,0.00,0.25,0.60,0.93,6.08,0.41,0.22,1.07,7.42
MICHIGAN,Clinton Township,100514,2,20,128,143,521,77,2017,MICHIGAN,Clinton Township,26,176,741,0.02,0.20,1.27,1.42,5.18,0.77,0.26,1.75,7.37
